IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
158.101.131.218,2096,2096,true,NRT,Asia Pacific,Tokyo,116,14.36
141.147.191.211,80,80,false,NRT,Asia Pacific,Tokyo,71,14.29
158.101.146.160,2095,2095,false,NRT,Asia Pacific,Tokyo,76,14.27
155.248.165.169,8880,8880,false,NRT,Asia Pacific,Tokyo,84,14.27
158.101.146.160,2083,2083,true,NRT,Asia Pacific,Tokyo,113,14.19
141.147.160.221,2096,2096,true,NRT,Asia Pacific,Tokyo,71,14.15
132.145.120.95,2095,2095,false,NRT,Asia Pacific,Tokyo,70,14.12
132.145.114.250,8080,8080,false,NRT,Asia Pacific,Tokyo,68,14.11
131.186.40.31,2083,2083,true,HKG,Asia Pacific,Hong Kong,129,14.09
141.147.175.230,8080,8080,false,NRT,Asia Pacific,Tokyo,76,14.09
140.238.36.216,2087,2087,true,NRT,Asia Pacific,Tokyo,127,14.08
132.145.112.247,8880,8880,false,NRT,Asia Pacific,Tokyo,70,14.06
155.248.162.160,8443,8443,true,NRT,Asia Pacific,Tokyo,83,14.05
131.186.44.38,2086,2086,false,NRT,Asia Pacific,Tokyo,70,14.01
141.147.164.54,2087,2087,true,NRT,Asia Pacific,Tokyo,99,13.99
140.238.41.253,2052,2052,false,NRT,Asia Pacific,Tokyo,71,13.95
152.70.106.195,2052,2052,false,NRT,Asia Pacific,Tokyo,70,13.90
155.248.160.116,2053,2053,true,NRT,Asia Pacific,Tokyo,71,13.83
158.101.137.96,80,80,false,NRT,Asia Pacific,Tokyo,70,13.78
141.147.179.64,2095,2095,false,NRT,Asia Pacific,Tokyo,71,13.78
158.179.191.14,8880,8880,false,NRT,Asia Pacific,Tokyo,71,13.72
132.145.114.250,2086,2086,false,NRT,Asia Pacific,Tokyo,71,13.70
158.179.191.14,2052,2052,false,NRT,Asia Pacific,Tokyo,70,13.70
158.179.191.14,8080,8080,false,NRT,Asia Pacific,Tokyo,71,13.65
141.147.167.40,2053,2053,true,NRT,Asia Pacific,Tokyo,89,13.64
152.70.98.174,2095,2095,false,NRT,Asia Pacific,Tokyo,77,13.64
168.138.197.222,2083,2083,true,NRT,Asia Pacific,Tokyo,185,13.64
