IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
158.179.178.142,8443,8443,true,NRT,Asia Pacific,Tokyo,113,13.54
158.180.69.220,443,443,true,SIN,Asia Pacific,Singapore,97,13.54
141.147.186.101,2086,2086,false,NRT,Asia Pacific,Tokyo,105,13.53
132.145.120.95,8880,8880,false,NRT,Asia Pacific,Tokyo,87,13.53
168.138.209.84,2087,2087,true,NRT,Asia Pacific,Tokyo,100,13.52
140.238.33.150,8080,8080,false,NRT,Asia Pacific,Tokyo,84,13.52
140.238.44.118,8880,8880,false,NRT,Asia Pacific,Tokyo,79,13.51
155.248.167.70,80,80,false,NRT,Asia Pacific,Tokyo,305,13.51
132.145.117.216,2082,2082,false,NRT,Asia Pacific,Tokyo,299,13.51
141.147.181.242,8080,8080,false,NRT,Asia Pacific,Tokyo,102,13.50
138.3.210.114,2083,2083,true,NRT,Asia Pacific,Tokyo,301,13.50
168.138.209.84,2052,2052,false,NRT,Asia Pacific,Tokyo,313,13.50
131.186.41.255,2087,2087,true,NRT,Asia Pacific,Tokyo,318,13.50
158.101.158.238,8080,8080,false,NRT,Asia Pacific,Tokyo,305,13.49
131.186.47.223,2082,2082,false,NRT,Asia Pacific,Tokyo,80,13.49
150.230.212.213,2096,2096,true,NRT,Asia Pacific,Tokyo,99,13.48
140.238.33.150,2095,2095,false,NRT,Asia Pacific,Tokyo,99,13.48
138.2.8.232,2082,2082,false,NRT,Asia Pacific,Tokyo,75,13.48
158.101.70.155,2095,2095,false,NRT,Asia Pacific,Tokyo,112,13.48
158.179.186.251,2053,2053,true,NRT,Asia Pacific,Tokyo,104,13.47
141.147.160.86,2087,2087,true,NRT,Asia Pacific,Tokyo,117,13.46
168.138.215.188,2053,2053,true,NRT,Asia Pacific,Tokyo,112,13.46
132.145.120.182,80,80,false,NRT,Asia Pacific,Tokyo,92,13.45
158.179.183.2,8880,8880,false,NRT,Asia Pacific,Tokyo,308,13.45
130.162.149.17,443,443,true,SIN,Asia Pacific,Singapore,89,13.44
158.179.180.233,2087,2087,true,NRT,Asia Pacific,Tokyo,118,13.43
132.145.123.143,8080,8080,false,NRT,Asia Pacific,Tokyo,92,13.42
158.101.145.246,2086,2086,false,NRT,Asia Pacific,Tokyo,349,13.41
158.101.158.238,2053,2053,true,NRT,Asia Pacific,Tokyo,155,13.41
151.145.68.104,8443,8443,true,NRT,Asia Pacific,Tokyo,121,13.41
140.238.54.149,2053,2053,true,NRT,Asia Pacific,Tokyo,320,13.41
158.101.155.246,2083,2083,true,NRT,Asia Pacific,Tokyo,340,13.40
132.145.117.216,8443,8443,true,NRT,Asia Pacific,Tokyo,105,13.40
140.238.33.165,2096,2096,true,NRT,Asia Pacific,Tokyo,270,13.40
158.101.149.52,8080,8080,false,NRT,Asia Pacific,Tokyo,342,13.38
158.101.142.103,2052,2052,false,NRT,Asia Pacific,Tokyo,104,13.38
140.238.59.255,8080,8080,false,NRT,Asia Pacific,Tokyo,83,13.37
140.238.35.138,2083,2083,true,NRT,Asia Pacific,Tokyo,82,13.37
